FID,GID_0,POPULATION,CARBON,PERCAPCARB,POPDENSITY,NAME,UNITTYPE,UNINAME,NAME_0,GID_1,NAME_1,HASC_1,GID_2,NAME_2,HASC_2,URBID,ISO3,ISOURBID,Shape_Leng,Shape_Area,Log10Popul
0,ABW,106434.771391999995103,2.180680990220000,0.000020488426495,7034334.611969999969006,Aruba,NATION,Aruba NATION, , , , , , , ,0, , ,0.963634318165000,0.015130751842700,5.0270801
1,AFG,27210173.099599998444319,4.564042165510000,0.000000167732934,433631.109731999982614,Afghanistan,NATION,Afghanistan NATION, , , , , , , ,0, , ,57.104654781000001,62.749587123600001,7.4347301
2,AGO,25572475.242199998348951,26.667035747700002,0.000001042802290,246318.690735000011045,Angola,NATION,Angola NATION, , , , , , , ,0, , ,73.800548945399996,103.818655278999998,7.4077702
